7.675090489726408283e-01,1.680376733692846756e+02,1.415413613568661244e-01,8.076916146153526199e+01,8.237409662773562502e+01,1.646715145864967056e+01,1.335386961655878402e+01,-7.473087310791015625e-01
7.990675085630970509e-01,6.979347450226046590e+01,2.010024689063016068e-01,4.237951327966396775e+01,3.347253003678873284e+01,1.094629762282207430e+01,1.302057207827992258e+01,9.701855182647705078e-01
7.994981265051034347e-01,2.541227298773137377e+01,1.744400248495527328e-01,3.215838143387281889e+01,6.205920625483463482e+01,9.141840518409356520e+00,1.229267185406711960e+01,-1.949563026428222656e-01
8.578133241079083371e-01,4.815703925715129685e+01,2.449527006752681146e-01,3.721325540515579178e+01,1.871426018334538455e+01,8.678839586558803276e+00,9.248426230202969833e+00,-3.566029071807861328e-01
8.836201581350081602e-01,3.043471329488693300e+01,1.616003854181424781e-01,2.192819000795549300e+01,2.878701719254715030e+01,8.128711089508646737e+00,8.250097873284220285e+00,6.205081939697265625e-03
8.748138510641999543e-01,3.423764631017769489e+01,1.612452162473227424e-01,1.755933311206831249e+01,1.154025994833541979e+01,1.161371590118777952e+01,8.962334193172150520e+00,-6.965124607086181641e-01
8.825460632156935104e-01,1.955343580464661812e+01,2.481400224630248563e-01,1.708875474878343326e+01,9.870050692827048167e+00,9.242864981600273921e+00,8.956638672569791737e+00,-6.021306514739990234e-01
7.421459065361020180e-01,1.138918282422031893e+02,1.209286899685090289e-01,6.085999834501352979e+01,6.951323673522432500e+01,1.464983533937894045e+01,9.451318932930565353e+00,6.178290843963623047e-01
8.348351198732528733e-01,2.706105399686970259e+01,7.809238626773251646e-02,2.445634923090735668e+01,1.340858412036358693e+01,1.141035030770554393e+01,1.060773009024591040e+01,8.920090198516845703e-01
7.679966376458140509e-01,6.941764597897429212e+01,2.379026839696976314e-01,6.901479359078432196e+01,6.537108389545862508e+01,1.222677582551038533e+01,9.719425761130320751e+00,3.118331432342529297e-01
9.357159815711842965e-01,1.248796181445513724e+02,1.260125029106766159e-01,5.582636613082816268e+01,3.476444054376778325e+01,2.309646169201948140e+01,1.309703087049485859e+01,-3.357117176055908203e-01
8.927871543433218982e-01,7.673391347805483065e+01,2.011223613719303471e-01,4.824235090600996756e+01,3.234615426131779259e+01,9.024707104078061093e+00,8.109014163127497454e+00,-5.640649795532226562e-01
9.719168149216291797e-01,7.327158069193824019e+01,1.754494856293560279e-01,8.269758250350018614e+01,6.001901018004827648e+01,9.165743920625805785e+00,1.672546863334941492e+01,1.223270416259765625e+00
9.357520213720933455e-01,6.750179037610169530e+01,1.346787899419972234e-01,3.591537962361476133e+01,3.691313648136868153e+01,8.011871351719825896e+00,1.083632849665351117e+01,1.254162311553955078e+00
9.843567573397103976e-01,1.508086926704295365e+02,1.310349878160549930e-01,1.017686405730459285e+02,8.332319994950023556e+01,9.740688994533648781e+00,9.572370606033651086e+00,2.256894111633300781e-02
7.089078744971859525e-01,9.478015684138552999e+00,2.457189419736167668e-01,1.025100899506402463e+01,7.679237064061823048e+00,8.667106776667417023e+00,1.148119957124487200e+01,-1.280268192291259766e+00
